rawname,name,corpusinfo,date_compiled,tagsetdoc,lang,tokencount,wordcount,doccount
preloaded/ces_jsi_newsfeed_virt,Timestamped JSI web corpus 2014-2020 Czech,Czech corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/08/2020 15:57:54,https://www.sketchengine.co.uk/tagset-reference-for-czech,cs,726875368,610667197,1974893
preloaded/ces_jsi_newsfeed_lastmonth,Timestamped JSI web corpus 2020-06 Czech,Czech corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/01/2020 14:04:27,https://www.sketchengine.co.uk/tagset-reference-for-czech,cs,20062321,16854609,56441
preloaded/ces_jsi_newsfeed_curmonth,Timestamped JSI web corpus 2020-07 Czech,Czech corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/27/2020 11:03:23,https://www.sketchengine.co.uk/tagset-reference-for-czech,cs,15357860,12895594,43723
preloaded/deu_jsi_newsfeed_virt,Timestamped JSI web corpus 2014-2020 German,German corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/08/2020 15:57:55,https://www.sketchengine.co.uk/german-rftagger-part-of-speech-tagset/,de,7011918484,5863062257,22634763
preloaded/deu_jsi_newsfeed_lastmonth,Timestamped JSI web corpus 2020-06 German,German corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/01/2020 14:05:51,https://www.sketchengine.co.uk/german-rftagger-part-of-speech-tagset/,de,133859420,112296986,437821
preloaded/deu_jsi_newsfeed_curmonth,Timestamped JSI web corpus 2020-07 German,German corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/27/2020 11:04:29,https://www.sketchengine.co.uk/german-rftagger-part-of-speech-tagset/,de,112415301,94305873,379756
preloaded/eng_jsi_newsfeed_virt,Timestamped JSI web corpus 2014-2020 English,English corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/08/2020 12:54:34,https://www.sketchengine.co.uk/english-treetagger-pipeline-2/,en,58581826897,50306400514,140518967
preloaded/eng_jsi_newsfeed_lastmonth,Timestamped JSI web corpus 2020-06 English,English corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/11/2020 20:55:09,https://www.sketchengine.co.uk/english-treetagger-pipeline-2/,en,1086888757,936823158,2707155
preloaded/eng_jsi_newsfeed_curmonth,Timestamped JSI web corpus 2020-07 English,English corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/27/2020 11:09:45,https://www.sketchengine.co.uk/english-treetagger-pipeline-2/,en,925617318,797028257,2294302
preloaded/spa_jsi_newsfeed_virt,Timestamped JSI web corpus 2014-2020 Spanish,Spanish corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/08/2020 12:54:39,https://www.sketchengine.co.uk/spanish-freeling-part-of-speech-tagset/,es,14786373090,12882177191,42369827
preloaded/spa_jsi_newsfeed_lastmonth,Timestamped JSI web corpus 2020-06 Spanish,Spanish corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/01/2020 14:33:52,https://www.sketchengine.co.uk/spanish-freeling-part-of-speech-tagset/,es,378050777,330913526,1064489
preloaded/spa_jsi_newsfeed_curmonth,Timestamped JSI web corpus 2020-07 Spanish,Spanish corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/27/2020 11:25:20,https://www.sketchengine.co.uk/spanish-freeling-part-of-speech-tagset/,es,317685778,277992009,896492
preloaded/fin_jsi_newsfeed_virt,Timestamped JSI web corpus 2014-2020 Finnish,Finnish corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/08/2020 15:57:55,http://www.ling.helsinki.fi/kieliteknologia/tutkimus/treebank/sources/FinnTreeBankManual.pdf,fi,422333356,349849105,1791170
preloaded/fin_jsi_newsfeed_lastmonth,Timestamped JSI web corpus 2020-06 Finnish,Finnish corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/01/2020 14:21:49,http://www.ling.helsinki.fi/kieliteknologia/tutkimus/treebank/sources/FinnTreeBankManual.pdf,fi,7986376,6625520,29153
preloaded/fin_jsi_newsfeed_curmonth,Timestamped JSI web corpus 2020-07 Finnish,Finnish corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/27/2020 11:14:33,http://www.ling.helsinki.fi/kieliteknologia/tutkimus/treebank/sources/FinnTreeBankManual.pdf,fi,6285302,5204065,22981
preloaded/fra_jsi_newsfeed_virt,Timestamped JSI web corpus 2014-2020 French,French corpus of news articles obtained from crawled a list of RSS feeds. Corpus tagged by TreeTagger v2.,07/08/2020 15:57:56,http://www.ims.uni-stuttgart.de/~schmid/french-tagset.html,fr,6568468915,5624518746,18094870
