id_concept,iate_link,en_def,en,cs,da,de,es,fi,fr,it,nl,pt,domains
3588006,https://iate.europa.eu/entry/result/3588006,"virus in the coronavirus family, first reported from Wuhan City, Hubei Province, China on 31 December 2019, which does not match any other known virus, and which causes COVID-19 - COM-Terminology Coordination and COM-EN, based on:World Health Organization (WHO). 'Novel Coronavirus (2019-nCoV)' (10.2.2020)","severe acute respiratory syndrome coronavirus 2, SARS-CoV-2, virus responsible for COVID-19, COVID-19 virus, 2019 novel coronavirus, 2019-nCoV, novel coronavirus, Wuhan seafood market pneumonia virus, COVID-19 coronavirus","koronavirus 2 způsobující těžký akutní respirační syndrom, SARS-CoV-2, virus způsobující onemocnění COVID-19, nový koronavirus 2019, 2019-nCoV, nový koronavirus","severe acute respiratory syndrome coronavirus 2, sars-CoV-2, covid-19-virus, 2019-nCoV, nyt coronavirus, nyt coronavirus fra 2019","schweres akutes Atemwegssyndrom Coronavirus 2, SARS-CoV-2, Coronavirus SARS-CoV-2, Virus, das COVID-19 verursacht, neuartiges Coronavirus, 2019-nCoV, Covid-19","coronavirus del síndrome respiratorio agudo grave 2, SARS-CoV-2, nuevo coronavirus, nuevo coronavirus de 2019, 2019-nCoV","koronavirus SARS-CoV-2, vakavan äkillisen hengitystieoireyhtymän aiheuttava koronavirus 2, koronavirus covid-19, SARS-CoV-2, uusi koronavirus 2019, uusi 2019-nCoV-virus, 2019-nCoV","coronavirus du syndrome respiratoire aigu sévère 2, SARS-CoV-2, nouveau coronavirus 2019, 2019-nCoV, nouveau coronavirus (2019-nCoV), SRAS-CoV-2, coronavirus de Wuhan","coronavirus della sindrome respiratoria acuta grave 2, SARS-CoV-2, virus responsabile della COVID-19, virus della COVID-19, sindrome respiratoria acuta grave coronavirus 2, 2019-nCoV, nuovo coronavirus, nuovo coronavirus del 2019, Covid-19, coronavirus Covid-19","severe acute respiratory syndrome coronavirus 2, SARS-CoV-2, COVID-19-virus, nieuw coronavirus (2019-nCoV), nieuw coronavirus, 2019-nCoV, Wuhanvirus","coronavírus da síndrome respiratória aguda grave 2, SARS-CoV-2, vírus da COVID-19, novo coronavírus 2019, 2019-nCoV","SOCIAL QUESTIONS > health > medical science > epidemiology > disease vector, SCIENCE > natural and applied sciences > life sciences"
1353735,https://iate.europa.eu/entry/result/1353735,"study and analysis of the distribution of disease and determinants of health-related states or events in specified human populations - COM-Terminology Coordination, based on:JM Last. Dictionary of Epidemiology. 2nd edition. In: Eberly College of Science. STAT 507 Epidemiological Research Methods. 1.1 - Defining Terms and History (9.6.2020). Pennsylvania State University.","epidemiological study, epidemiological survey, epidemiological investigation",epidemiologická studie,epidemiologisk undersøgelse,"epidemiologische Studie, epidemiologische Erhebung","estudio epidemiológico, investigación epidemiológica",epidemiologinen tutkimus,"étude épidémiologique, enquête épidémiologique","studio epidemiologico, indagine epidemiologica","epidemiologisch onderzoek, epidemiologische enquête","estudo epidemiológico, investigação epidemiológica, inquérito epidemiológico",SOCIAL QUESTIONS > health > medical science > epidemiology
3569677,https://iate.europa.eu/entry/result/3569677,"quantitative easing programme introduced by the
European Central Bank in 2016, under which specified Eurosystem central banks
may purchase eligible corporate bonds from eligible counterparties in the
primary and secondary markets, as well as certain public sector corporate bonds
in the secondary markets - Council-EN, based on <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016D0016"" target=""_blank"">Decision (EU) 2016/948 of the European Central Bank on the implementation of the corporate sector purchase programme (ECB/2016/16), Article 1","corporate sector purchase programme, CSPP",program nákupu cenných papírů podnikového sektoru,"program til opkøb af virksomhedsobligationer, CSPP","Programm zum Ankauf von Wertpapieren des Unternehmenssektors, CSPP","programa de compras de bonos corporativos, CSPP","yrityssektorin osto-ohjelma, CSPP-ohjelma, yrityssektorin velkapapereiden osto-ohjelma","programme d'achat de titres du secteur des entreprises, CSPP","programma di acquisto per il settore societario, CSPP",aankoopprogramma bedrijfssector,"programa de compra de ativos do setor empresarial, CSPP",FINANCE > monetary economics > monetary policy
1529883,https://iate.europa.eu/entry/result/1529883,"department of a hospital in which patients who are dangerously ill are kept under constant observation - ‘intensive care unit’ (13.3.2020), Lexico.com, Oxford University Press, 2019.","intensive care unit, ICU, intensive therapy unit, ITU, critical care unit, CCU",jednotka intenzivní péče,intensivafdeling,"Intensivstation, Intensivbehandlungseinheit, Intensivmedizineinheit, ITS, IBE",,"tehohoitoyksikkö, tehohoidon yksikkö","unité de soins intensifs, service des soins intensifs","unità di cure intensive, UCI, unità di terapia intensiva, UTI, servizio di cure intensive, unità di cura intensiva",,"Unidade de Cuidados Intensivos, UCI","SOCIAL QUESTIONS > health > health policy > organisation of health care > health care, SOCIAL QUESTIONS > health > health policy > health service > medical institution"
3567652,https://iate.europa.eu/entry/result/3567652,"phase of crisis management focused on preventive
activities that seek to reduce known risks that could lead to a crisis. - OECD &gt; Topics &gt; Public Governance &gt; Risk Governance &gt; The Role of Social Media in Crisis Preparedness, Response and Recovery (15.5.2020)",crisis preparedness,"krizová připravenost, připravenost na krize",,,,kriisivalmius,,,,"preparação para crises, preparação para enfrentar crises","SOCIAL QUESTIONS > health, POLITICS > politics and public safety > public safety, INTERNATIONAL RELATIONS > defence"
907309,https://iate.europa.eu/entry/result/907309,"measure having a
transitory budgetary effect that does not lead to a
sustained change in the budgetary position - European Commission, Report on Public Finances in EMU 2015 (23.3.2020), Publications Office of the European Union, Luxembourg, 2015, p. 52","one-off measure, one-off fiscal measure, one-off","jednorázové opatření, jednorázové fiskální opatření","engangsforanstaltning, engangstiltag, finanspolitisk engangsforanstaltning, finanspolitisk engangstiltag",einmalige Maßnahme,"medida puntual, medida fiscal puntual","kertaluonteinen toimenpide, kertaluonteinen finanssipoliittinen toimenpide","mesure budgétaire ponctuelle, mesure ponctuelle, mesure exceptionnelle","misura una tantum, misura fiscale una tantum","eenmalige maatregel, eenmalige begrotingsmaatregel",medida orçamental pontual,"FINANCE > budget > implementation of the budget > budgetary control, FINANCE > monetary economics > Economic and Monetary Union, FINANCE > public finance and budget policy > budget policy > stability programme"
3510330,https://iate.europa.eu/entry/result/3510330,"probability that a test gives a negative result in the absence of the target marker - COM-Terminology Coordination, based on:'<a href=""https://medical-dictionary.thefreedictionary.com/diagnostic+specificity"" target=""_blank"">diagnostic specificity' (27.4.2020), The American Heritage® Medical Dictionary, 2007, Houghton Mifflin Company. ",diagnostic specificity,"diagnostická specificita, diagnostická specifičnost, diagnostická specifita",diagnostisk specificitet,diagnostische Spezifität,especificidad diagnóstica,diagnostinen spesifisyys,,specificità diagnostica,diagnostische specificiteit,"especificidade diagnóstica, especificidade de diagnóstico, Sp","SOCIAL QUESTIONS > health > medical science, AGRICULTURE, FORESTRY AND FISHERIES > agricultural activity > animal health, SOCIAL QUESTIONS > health > health policy > organisation of health care > medical device"
2234433,https://iate.europa.eu/entry/result/2234433,"a confidential computer system allowing EU Member States to send alerts about events with a potential impact on the EU, share information, and coordinate their response - European Commission &gt; DG Health &amp; Consumers &gt; Public health &gt; Communicable diseases &gt; Early warning, http://ec.europa.eu/health/communicable_diseases/early_warning/index_en.htm [7.12.2011]","EWRS, Early Warning and Response System, early warning and response system for the prevention and control of communicable diseases, Early Warning and Response System for Communicable Diseases","systém včasného varování a reakce, EWRS, SVVR","system for tidlig varsling og reaktion, system for tidlig varsling og reaktion med henblik på epidemiologisk overvågning af og kontrol med overførbare sygdomme","Frühwarn- und Reaktionssystem der Gemeinschaft, EWRS, Frühwarn- und Reaktionssystem für die Überwachung und die Kontrolle übertragbarer Krankheiten","sistema de alerta precoz y respuesta para la vigilancia y control de las enfermedades transmisibles, SAPR","varhaisvaroitus- ja reagointijärjestelmä, tartuntatautien ehkäisyn ja valvonnan varhaisvaroitus- ja reagointijärjestelmä","Système d’alerte précoce et de réaction, SAPR, système d'alerte précoce et de réaction pour la prévention et le contrôle des maladies transmissibles","Sistema di allarme rapido e di reazione, SARR, sistema di allarme rapido e di reazione per la prevenzione e il controllo delle malattie trasmissibili","systeem voor vroegtijdige waarschuwing en maatregelen, systeem voor vroegtijdige waarschuwing en reactie","Sistema de Alerta Rápido e de Resposta, para a Prevenção e Controlo das Doenças Transmissíveis, SARR, sistema de alerta rápido e de resposta para a prevenção e controlo das doenças transmissíveis","SOCIAL QUESTIONS > health, EUROPEAN UNION > European construction > European Union"
3524674,https://iate.europa.eu/entry/result/3524674,"substance used in controlled testing which is very similar to the actual testing substance but which is known from previous experience to give a positive result - COM-EN, based on:Wikipedia &gt; Experiment (19.3.2020)","positive control chemical, positive control reagent, positive control material, control material, positive control substance, positive control, testing control material, test control material, testing material, positive control material testing","chemická látka pro pozitivní kontrolu, látka pro pozitivní kontrolu, činidlo pro pozitivní kontrolu, pozitivní kontrola","positivt kontrolkemikalie, positiv kontrol, kontrolmateriale, testkontrolmateriale, testudstyr","Positivkontrollsubstanz, Positivkontrolle, Positiv-Kontrolle, positive Kontrolle",sustancia de control positivo,"positiivinen kontrollikemikaali, positiivinen vertailumateriaali, positiivisen kontrollin reagenssi, positiivinen kontrolli","substance chimique servant de témoin positif, substance utilisée comme témoin positif, matériel de contrôle, réactif de contrôle positif","sostanza per i controlli positivi, reagente per controlli positivi, materiale di controllo positivo, materiale di controllo, controllo positivo","positieve controlestof, controlemateriaal","substância de controlo positivo, produto químico de controlo positivo","SOCIAL QUESTIONS > health > pharmaceutical industry, SOCIAL QUESTIONS > health > medical science"
755778,https://iate.europa.eu/entry/result/755778,"a conference in which participants in different locations are able to communicate with each other in sound and vision - Lexico &gt; videoconference, https://www.lexico.com/definition/videoconference (26.5.2020)","videoconference, VC, video conference, video conference call, videomeeting, video meeting, videoconferencing",videokonference,"videokonference, videomøde","Videokonferenz, VK, Fernsehkonferenz",videoconferencia,"videoneuvottelu, videokonferenssi, videokokous","vidéoconférence, visioconférence, conférence vidéo",videoconferenza,"videoconferentie, videovergadering",videoconferência,"EDUCATION AND COMMUNICATIONS > communications > communications industry > information technology, EDUCATION AND COMMUNICATIONS > communications > communications systems > telecommunications"
